0,0,32132,37400,33364
1,0,32128,37400,33360
2,0,32140,37404,33360
3,0,32128,37400,33354
4,0,32136,37404,33360
5,0,32132,37392,33360
6,0,32144,37392,33376
7,0,32152,37392,33360
8,0,32162,37384,33360
9,0,32160,37384,33352
10,0,32152,37384,33368
11,0,32136,37392,33364
12,0,32132,37400,33368
13,0,32144,37400,33360
14,0,32144,37400,33368
15,0,32136,37400,33360
16,0,32144,37392,33388
17,0,32136,37400,33384
18,0,32120,37400,33392
19,0,32120,37408,33368
20,0,32120,37408,33364
21,0,32116,37408,33344
22,0,32120,37416,33344
23,0,32112,37416,33346
24,0,32106,37416,33360
25,0,32120,37424,33368
26,0,32112,37424,33352
27,0,32104,37432,33336
28,0,32104,37440,33352
29,0,32120,37424,33356
30,0,32104,37424,33368
31,0,32112,37426,33388
32,0,32120,37424,33380
33,0,32124,37432,33384
34,0,32128,37424,33370
35,0,32144,37416,33360
36,0,32160,37424,33352
37,0,32160,37424,33372
38,0,32176,37416,33368
39,0,32184,37432,33376
40,0,32184,37432,33376
41,0,32184,37432,33368
42,0,32200,37424,33368
43,0,32200,37416,33368
44,0,32200,37424,33352
45,0,32192,37412,33368
46,0,32184,37424,33360
47,0,32184,37420,33360
48,0,32192,37424,33368
49,0,32184,37416,33376
50,0,32184,37420,33384
51,0,32176,37416,33384
52,0,32168,37416,33376
53,0,32160,37416,33368
54,0,32152,37416,33376
55,0,32140,37416,33372
56,0,32152,37416,33340
57,0,32152,37416,33344
58,0,32152,37408,33360
59,0,32140,37396,33352
60,0,32144,37384,33360
61,0,32144,37384,33360
62,0,32144,37392,33360
63,0,32128,37408,33372
64,0,32120,37412,33368
65,0,32104,37412,33368
66,0,32112,37410,33380
67,0,32112,37408,33392
68,0,32120,37400,33368
69,0,32120,37408,33364
70,0,32128,37416,33360
71,0,32136,37408,33360
72,0,32128,37408,33360
73,0,32120,37408,33360
74,0,32128,37410,33362
75,0,32120,37400,33352
76,0,32128,37400,33364
77,0,32128,37400,33360
78,0,32128,37400,33352
79,0,32128,37408,33336
80,0,32128,37416,33360
81,0,32144,37408,33380
82,0,32128,37410,33384
83,0,32148,37416,33368
84,0,32144,37408,33356
85,0,32144,37408,33360
86,0,32138,37404,33360
87,0,32132,37400,33376
88,0,32144,37392,33376
89,0,32144,37394,33376
90,0,32136,37392,33376
91,0,32144,37400,33360
92,0,32128,37388,33340
93,0,32136,37396,33344
94,0,32136,37384,33372
95,0,32136,37392,33384
96,0,32128,37384,33384
97,0,32124,37392,33396
98,0,32120,37400,33408
99,0,32128,37410,33400
100,0,32116,37408,33384
101,0,32112,37424,33392
102,0,32112,37424,33380
103,0,32120,37408,33376
104,0,32132,37420,33384
105,0,32128,37408,33380
106,0,32128,37424,33368
107,0,32120,37408,33360
108,0,32124,37408,33376
109,0,32128,37410,33376
